[0,0] 244937560649606093713931536359641990117721201670838635520515223076440624721384935502228686961129842846896850271608721898448770546213003401875947887408531255317155338391802626910773701493283021809654557034176057710077534995795012174311714508431269720651754821576865128726691048981670895177434396741533777301815340412269636512240074951017094629772069259978230973428118634866075186274234337470607617828526838891610259195428338760135660068381952208872344500234196347093694873797424648260634116141118081427768511062294500383988518350116959822910722006028137983458492755934682253284106228755280788795712990559595482088685515994352660613772472930471989529431049798418432000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -103086775111054951505708499722203203168419811675779021505809981535154759933355776683640261940460071837180093184608627015480875109783395922345180830187864081502810276777769323294468471371180891185868463112131077579508360081765178536176535949452425675626281577716883290905717681132609153308826212798683304018395982111544212022620864661137725264340398244970473150887701723451969506235090766878841437854844735560835031876651612708165854891181991442743142949227231564424892554947439713540734768722502185808481681955053082805920981443420671021497859658645271542390298544000337225995600804513751473247932081525526494139062353008520836538475294038160381180180078492909568000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] -15808839490452241601175570379975804485953188664173708297731333868215278275647189668300150830408836609669121579022235407479105221242004422138823445590204116083415715110091614080890729342622581028174506080390346994567679163915516821260766355601199486214688882851640215165821280672002231770024597901160427109858832674191837718269627598859428447142427981713206734403082083202751572502438304252400531577348532209185001671901009974160133080618275356468153868946960425186695330605680582452599320775674301413669026328567326677033147870663695573142467280245721726192946095268280971590498682339196327696736016963100280382030091022525202198140233860419287507196246095663464448000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] -343728352874645635508431656477580608952462456947349306067795116022666879697532509464554012642024087760005449856140226413940960500691725202826828471571131594281167927112372729253115683229634707983401944075711321542655134594817658481135568167096317175452264136485382892712361040637793706387667260356143716744971052695520594502086224270108301170813176155254070688871467411905153095349416027244700813437426929840584572567495310508130937746183457184361973988259003104687494627745823784478869995794954151866292910300053670768150136646067775218027344079339646426221202023612525122777865826886552486295982895674659276163716265097418467264826151838966051235445516808486912000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 45425243601695485967575479758202994864525762222393734217155867400211816690632107495461291223176939253395446949484070315038807406161965303724680176025112229812870444376514958993200183296835989332669157350999045159416401809849759904109872308737928120894505799317295918859338878962463930492817255750309605486165099849057297077726269772825232565864336517417880525402690683708964644459310440588749357005590318533307620218195919787963237780469260838675591265619851850983303680013458382136539071443827529813787281406689918695166484788274061238898896382792826094424899940551320612321925166099332427896806413107870795019707298613469978075538673285760799187653407223402463232000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 45194583335783134647256103642810820266055596423261088435278364238496681463251113028844666957466044182125319429975987785531770003824439564550432107036517656049423901734167755946404610593301479124363248206973361351199243974646993119209661518146484168861198347869008514317734413909131277281056047192954490269620217812919690318776272629560736732378562711993936397002874288203628357287716925195232713632174275727461532689544493693044896644351732732116243300792733148216882635089729821123015161096476374733481292262992314287823795209652628273093666855247531125038877792233795128614017901682844192971358221620552753339321466912819726093913849700938458024621845935766372352000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -169004420071789468549284735675657362484640429316385478357969058944462180572211610683161779589462566049572102576920846634678874082940090104529510215300940966513236361715652021654836781848416488919044969072793600371526104030972530218817384128648199205720369559770888506498563322700381132219422297600614970660278184147591302838892039246517729086248815211532759546651873502794180587338104672724408044205678533805253050753913336856813985460052074250405863235335476162979912072826660222747790027160346889161350591947324167575721339090321660038837856934376073984612115892217240012617079762998005047876154890347830088164432269313075898137240908637982712730021209036554240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -13609545336413639381391798880630939638982708813733844952197091633541837959039225927923840857888177904076521920987575811874355031255890921218471292262321271181856699062932012603020838782156183298458008923243576976153820177506555259739032121110031241475404128130080328038735069829853053696030420935215596873029610048945463222019961758544072864690872893908536753193873272977370335683353293199252447716495117385424800608162657528221951582727725776205726959252171611588443739514326467093132986088015060513990073236580246936538279912533850258635615889740613425523326451530286100998378279731370375596815200331413344153925920968815104406212874663255065603746295443542245376000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -1053979770514096764453098223870405133907473057461170847438840717332282001308264067810732071817363690107043051333289719594992802126365260283448488674698715767193075623796075267830783075754068046439111378890420577965372628666044643633314926053719132603239889754442521008657279195514588094161546551783341158042005461554060739686617731562472633570784022223446904809187587251163430214100542783746181285985230021156115997620556884707264500878272233432124679909964089252183911611123280377314571063382642519930519977848212089371478084786413278458315229335294287577498968105788875863321665486125771699017028122622251005936464365239531933795652358503585843433789650145007108096000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 7110900617929606662464917705489362511475088426040376392661428832810663076162993867020830420680581720060505167132122326514180279399544921908836064854210347139284156815623556313157979636966060621319524352139579980798713491699445682355821512855710878409173281361968876600523818694926408725880658849757143849766162198407693405710501608447600527740887122852735212587848909427587572174314889354155647121770906043221734962485628684446399562973296228799419870096468017985083268030293987834251226142482630876821883106397384882129139500885381688611355779610641504611391471460229644411455182063755518543962840981313981173778903091933681412827501472494222568759970545044727791616000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 615162411182436678939375727734245182793673027618228589869042379555058102136676220232806243447493639579436819189951523563319852707169736490337308905116431561071849989026241751681152050295312780759186491224474555777571923583968661056400948714102895869734543131376836417738325377106537275780384770060493934918886076981295728467180219878135052998216242573985720675356680053963811566924472966470479590151064812526134981310336102157512808132656714400195446649671320441078051823435696778569179503991643366660019695604751314123328677261656266722745390471832406561321863210276434684731535782022177774191559145422203355136369562381064490530359516319885428201589849985122304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
