[1,1] 1614822729994154491885854901160171620002966272019055216704083198910363856242385936912477463055533583397384687774855098839102470178382096459614170896038685198631169154987989756819535062702743420071725784867046926099962658176721803332141131734422234277038289865230901826207774075281392997966473208084932411856382891974944374137105788056604832081949318469718943302100038001878670808152176578437844608890917813961795454568836443922486395856386903124664043579739995102054039397979451126818559883347578708229727949308103753330148696011373681892466377232166293953757823858782681376337678415289715071829565404786777501675145592925735417256568805022279218973432364219791634819567619116657127406503895504961816390601140209571236624389225586160786987210119594701676059456084204599186182296758239301080504686651895177384569979624386463015622309890507881712166736097236789529461998871623972488359260894301613827470290173171362571723821859044724173575819204631629871065165706080136839891497901751605036697142976552795635485693295186440610127369720083907776616595456000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 3890933447887264988734886838233962405580252796815606166436475434252264591871302792218778899177200997080778943983671272280264305862904919590032895800119328868097824324882580962518921463869466201526441972246698543643398505658202642888230646994007506356680520163343035477571594072497887433044306008351922038731217389510583413710082496689702914666322340847962379835619340229341214417709439786808928014206533159083137048436456253360336474702803913214029944886236218222486445889202483624026233475998704238678523513595401112481273679920788911977107692057403590057114111471446640356892966680982620780266917035366030987129497844760151227085853070830015950598870695343422739684905823233364513294637302615900875719158231117801570378806967939787160009124581691372968999805340091248146123747257799976373170774414108680212836343032654735750600659001017072902644756666661109132040613725144958859204590083498222966651310204622354541545588478079345142827498142097986335780601472764632284912004740358854843018456842453958065722311073909098200470077701422377878601859072000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 32420987785972100016943827836749868820307045998838492069423797436616372978917138033744607902518149710412095093941523729804094220220031179120818508413731113901058998103236773756710978822916664004804858359569204362555079885244035928642286586844238091171479558223780903894088378802172584855881362148372925950214030348773318000129140670587045296807292208868210784855046781806035841905116594857858918270705802686852889719664063830981466687854460267744025777425733985149171920099366010606391393654215112824385780016239301157958770640782076568130967272203529417476110960298528523512595991671766150004276904860369145469586443657839330736243275819518051320167173911175518693584978112209083940843301087079865588534553578497765321456388619924132875819585304657282966320759200825493017145134695871244458944325119501196560591494210776804780919725494527712386970888610094279668025345616630908542306802044671249809927279091614758610748660957356850776728446533942359019677340411818213527164106455246458930263168002578530471844256500973206977257170574688475773769130967040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] -204589814531752641174361314306024060883585603962229156213111308023536565721358032072778298986621380648614446074177174009930615411524324937556657593766124754916213890763484807122593821571308062515228250193515415716721492622853938667913071698547083875803975511006747729138902896988022381751198359385154136167622214334747600830243686214892136081250615858178808239363388107543803493078888084368645115272120442484826704666538662215101016151356024651316885225555703844339949907824865415939853636641435336920507350449852402590985349453225187775213891912482270171992750079737655536071781201554895902113725973122477672629259584351050934923563393834584191289999649356381262045464171395773290475255727915000548260915512689988116064328535802905015557310496283322787340877573277350530003221906011634322357787157059972173733727187495905400823713318875170550393866305229163719432987676842526027309733424492576107488216274293539532321886649275659252728831317922468923173878065024669253206998076101049419860063580749422133938549728611904412992347889473315865712695644296052736000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] 24293074129439439254795600178326578745199398629552388624365200674973096920358801291997852887888647217088869552566509960274573341997967699122682638678098327276215289914072559142759980398148069180586387588360463508416431868484720992769685519496110358172315936870895515641483028491653558685943261145313250562415635465344601115426310520575782686867743560029193765781337292658239922669391028594053568486621379351022904929463872701769618954315171829379163199478668110438599528647328400513812583786688873942813725534249443816781075716440701052403686365835676894807436648545983745493542710156148406005648182042872151351221902297789114483352318304509453132213368542736551944654787056650031224393727737099706240051166584061207179471492566720257754621888164078712331275938980482946020890857985230508460736450222927946144040173656814719155657316153426508333164593179431710681463938302485008746967569617058198338143206426059520920134398000511565160763627428559144574591148034935538142090942731608940576984733145350390682489163876540219730251914453739473463829027880960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -587274929857870163435615916421248275168263205844577593035608826131583104763234407142886643477984604947942672187602900153857640540595040784660859010463445868140705264921453845238022034590108532660157122526037640773286565800669097894415997261566074164706278773192111999866554432540408265289799415513232239771641455650578492834889969951552453927087163385163632133429589057469760706609728011297964471908685058290075822112905045274480811421184591328748847254179818183867600535891154294303143055447845837747413594073106516051183438552769360863624989398137007861956934992308589995648239750152489053354125104585853292905788105604197315804692885668384197624685278838208481943982944699575822319197556603864573819187403050033954444092954279180288160927624689165621311120695302158507888881322768314652556928439481138176202829963816330711257648697375662106484216821636542313209877762885137140335289086995173394952240062609649551029707293957211955593670944498678114551941166964192887015400228153170476329669892714435421300701706827890672636980600841099705203752425041690624000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] 614977894735756172993307556892394993306831875476031296289467410007545895275119969275602732849971343544001919667762040363835217419626315478912925795274135227403143853695899296401743745828551404825456943211385856901793036842079476049637518884510605515105871261214927746489860331061208044127668973568163864912742322777394774466916108353806876359210012114885850271588366390393994088188263133715867961551619918950098443306034345855840948578586312728673384533621024144855008390667087038131131596187669629406338171487240831345841078474273914858881691104734205611322680682862422387532886069979592933359572164701237714700780148922446427392669106497147592337394254359387100652791035951038071070752820623073319946978910301723339428791173238572512246329922399250658267675745950349466695631008505695342230587527898119977322809651551312701592674123521370547578741468691664552948443132246535857790449205416532887459907607880377808520578664443674016699593968311165921889458717340489799393909925463997060209202765830991451493486714066513715689170986701166954317020412286987141120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 25187870161390884917563399766659190340355027999201266847883782339650397327162876765543433532188282610364017346285908636536836659750155314089017401714050863311200760186759970475169938746454834496234972694101915931696970839293111948553541606177074530698565477103752056790942293444403370084756972532404915553427625054499276904850451632521148200506021785853929411944658131556644125695093150801077483236425359177808408877855822977289057483726607106344701621449930571065676852736004082533866871906767917731556454027683403852117499078784961239191933017457975717208791409260366662899032541919680008247475086822525117135189489920672772764871446926968439053445043347689467283816457495245931669434588290807995436591738842308156072260316633162387276978764573127568556560257562820522033553465624186627870770365018140710965360180844994959118384115471572024247514859183762232876137865003846727777070201511564566801637088212646145999402793333076514574357388169886468916330233529203011839374651463593622007453638157963474450100916720771858418927396573557410518986598411982114727657472000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 31956937260567004620822455294086334228979842664964425420284206966520629530426723050264081889140519501435397869322629566884599045115881557189178643730947626812326042125544028656387142095706356079906725999360707553129549365907340175698511694556939698133772596922246419702885400508244705662590289650676153884460320091443558326835538344194156896807461304896324214253434692415057251918540441603601583262454674541921479133567749212255845230786340134158881860684166854429649159346250820409515127821634602938140973119396184609156695575034822172854400509203453483618413764968500771551652560435034376042542033299278699747864046200499298792624812252189032131023621870798194320469188550082563861220922148354649235626384366992479640862788572045955829669710970375097262366131154700708658628384657829554705356954557807834672476185534557090250613547000481928259357190464101341347645079650434714684105832845976368084650720999705702717841640694841293035336965268785649424302806707711006287488351491084920082010015183914204225156506139139476520933397824300201536391745835630592000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,1] 246564915328725727202421334484870448066178404390706565764199098253656783009540084344536771954743512975434137778463676770976577559698022981952078791730090080163120542522328068759635722336007586301472913237008569974614083931603562093106121801459554541305588918457809143578832646022021968872462267108912631241972831939775200855276337788435044905798798544338956959391516179536159802747575938148029144796391080444928693275997762419469528082075555033247468130367997104295164218498229067666990483712246985083907154709506230166169928441113584996664711661640172934997636023348864066799203308989510434968230355323092790938759302912393065767591407130365139434785376934041937338660414234874108990575139329988954473867146302764170465414389953130410521940499967837313000965329356318672301918350066452583696727303964407819197836818608414329458427730767653311010594680039830016269823403097069075772552947782550331315415333281761222113830032829149636036672858232524471535921770125887843698036190527668737579821292161342191262128670921452962621920965992533429656641747032043683840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,2] 32192024158613779393144712184102611103476136258557333642750194094879501260881425023690119902757920441894260955718749627515507844901044629626330406981320534883125374216761439088506064904432999868596346953474661572531322835690270990737945549558105968183404217985472639827069327156624569517742275715163413873992567178004513614596768823213595718838192631705049347196659973673706478902386910641212325345366819119202320065972273481012793224869689258585385454784498831353517431156890720560015581544440256541243378036475374150713271280851538755355503764188974414989867467967057142515922233375823855878647122660816046516528680086493115228968675256197732217831060436000086555925818600129702476884270757305906443323344929368131422565399723523699115390788154215004908533534229431920344232895900245726806693399997981606937224405376262828791126562906891824495197106954264835946079068669565198407335548664761050042304236298475451453809691960841783575485180980075996943451271028534508034865619767592947064726207538766114813872504451075245621474688026820872592982890303535666134253568000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
