[0,0] 104123257658605683145428036870617867998892769396639613897046321826943852068214835637251491071709734289135967668999533998444090432825283708598618607879247930090567840061182863523405195347235847087848299012112647506576052590438928473774309507044893794262925843196367812097721173891592379517891113971879066191586491734864512499401997785096721131279861997011527837501403924784332627270365183261631963101245067238930617412696691165207162698847844669475341983204076035102737344156325088924965535126211306751493112499633719265858584512530011883371286454022942049474650807590850470672695541879662489057032418047458184730169520656317128603764943501153191918960813635636141485639601230754051697663581106737051070297085416712652464248160274255146657321798712370402210779062988539841315081752519882519926667639170161929853491502282153693657255702175667740253217734466650561039455935962502357706915584692836430312218073516369592603017432516251282406668550020816399396298712272748140052859539697351062247142556639543348889913307388226232835669780121058660039788600341445556183278816902117394672501679351154147105884776297398272000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -189231506988069350182002887980364430795832126009897560293561896235250971072532819833569747685005027400750516680331704581575311064442287657282684516959414231121509299265963521984624612930335910210336338350207672692252358894730018624464184559807415963976292558805557151592242570367031158293911605491001726958034152366727185167445497197125504429939414930996551993978200699496521870503660919137063762383101411025486127098374387437569684040211313818229982264525164479477438744400284751608655453444823672826333665825872270514451653583517979272892030553793822495267516817709490239974111893221583919275242530056582858526647077492266062665365116378399641643751995790110654427795765209136130991482688708192013252079455975350476203454080481309425402242119116824384899017301748882941920678822167791308954861883317937385552476257526296483480095775692121418191329812979356678273088318523247093129658332813733063775813752266606185452244671743575431758808083240196267951867515996769090303138405556178556125730202228106783284026535623702118605465324457504494746239571056342659468689644459394912627790827264443797561273796513547419648000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] 131213536272304764479132873487155997936911126913190885620906866515680706434585856793349987872366040864505996801155442232543450675891019658484602769410868490387915390325407653210968302773531742446456119164866451603428820479829873242960262434365962671504447384490493886593959208337743361767464561854192811821237768839875858536024674101525634219309992177237486050004512017264753237977126930193429302193921904500086619723496704031593330325828036806257753040886330084668953998206352457463728991647809071547367583693158470390952954709222722440686241833080350925252214137963836855056244366838778312180951371450191433665325787318355796392775480019602206507622629608029636261092360335010186327387582045334389075384946976449992064750466800569562213109845286969110930427792085945969849407849100863917622622604946711898967343676037636789485610794525793356781595331750247916640209048668151469624314827471831401780002158118251157702760536387524524316688987039041953221333304815028136841357405864147016065005458269064555054824528447348077232688601435095680584453930447328196220388975859778242628269064417546041867935652401802031673638912000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] -2479695127540865651846444677881509608652425840070310575842798925999152723781034253659521588328301920752790591635401384966359251848318027392576205213175444562337681462282780258939403442361566079653710713187686098787049669575879156005135549925759865088945093167617466306313044577746395665003505860103531042200004522293791376310245982065619312616077036461667030676142637133040717829211235706569997987402319241114485496027859271432221642379687563893539635622405471094048571258530297997762199299373029754010753783808709223756953014886049420872512857663938984656892242015504650161433518382147953017372540649000119491334920823334476760920907021978199512853475540789054504054743871356485086764882980063104381942701614878358616634752956103963814696611973024785291216398395490707404247953413455077041307940929661042424072310394562298108930255275799210379934306990934076220388658124460267990584179908181000907705557703961468393176209619329179827635258662699427133508329919185997616582866811571198176280884594530531214715408071918691563557386571522753027805916955551851968010344354346525012292502011081931819139337342437857291141120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] -219473992053665466335592945824412985237468288216531634174770516562031186199641815830523659970964954112756661286496581638124089458611616893491381188489314388102662689175776381582351110793091283812967372197800365703341610705036204540851558676472499030824485368474704010064639932286192966105576331605165060241437910396770616322074123436486946738115785455042787012547458740523756773642728453491041826090812485993003511339235520458941775495861254666348665560034884714609639410582972406705013988509172820650685001874171180573895726552217200094906312093021715881475452739077199415044449795384177837406059880684803097339795119837111787469653718899408742483819790558342691878555044111845886810707424083410700908369990462360194550075928555108007986974171642335178278267566000178027328205596353477303443417598941670452451890181544967986085563015054784239169884801152973166200198848721154230896877692759373691747543317879780942530291792192412112716396246597954617096451247907481954625661477012524322206695125903599565765864853135278076905114468690465166578635755601998019663493261125824390425723741579268715158421921986930980021562507264000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 52205556898126000465039326635196782533043893750344546522472385647904583665410414756777023012302427634116247056973882091743894589717915064777422540376750484451079928876108943972599423291770460021717105388224301570356941216471934844423525467559058324409852170142813677438366296826146574378971619981498008709077547442119704160356333523911104606290476849427161782431179150764371813898277602696623793272634167604177974607495361754851549632847165315617757539169150535767683986365782346599530668009818756513239621281629433193991913445953841805911018346950267594890115754700286816802275294862982978680931241192262614941171069267568023759661009578635539725640139693693541257754508904515778335812117131261156473325920121878230613677252095407517720955842382666567588724475142074185929003990468244625994172062877256379056724063745552370068538294724617832286496336150410841468311222107161851340973237401747503934719382481998410031429675650790205376377529076327390333813966604969644530365315469053129340518234540964174225294795935150382032582723260368353800704395115535089744696038443367569358571397994389164144290223638118320150766375760035840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] 3452020228467817583390178979355074187929073809617192089591771360412184246767745726258863884190355305644951379599737905890740778422685396500956034600875503506869777084119781475166370239522687747910284483666579737660129556631342355856788929540219134110763928958943724236993066613169978060190662713625554118768176209483078929929809223038672864017001833524411366293533949010279376156880225987318564495174935131345600780741748089949438877346784989974800897849140954110394211829230115923858039160474471418442207178824509621236714203598943146928439172911123891505082010276856813109643697642191866811200634276706702594401515834834557177987292310321415031749272111241605406533338701269136566444305205191391874175783675485281598884754501618325324196584242848289689428259336828209174727021609160493433306303230532693413361808380667592884621417814989291547016847732398565672415779883107248287158252755913324554843384925318305300145072804626800770410600406504172899651931695172993741512616579248630641049968170288467942717414398441727031327234372065609321736957647530477286353664527992674132051829598962213727630402502488840541243965440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -67789486702832997415074249161428729453540356750750738727563051814756913183933849330399749210687926168810980726927374517977140508709678265844229157272206949465080863234685699705529804610425753219602299433473959864216201867781908780920660374157009961145980867846131699498750306009337423619503578515575772412364323861475339215881283996170268365704648126384619358671486458564833883017729294961774828408165608832354153828474567395240467817549672583999283848800152504317510577632155176520831196406306401520210065773391206472305541974132447056416507825719185623250246753652825523573598330648154508340984503631250242635784052934219390145063305690262508433100517004895433272959474309103323583598787124417292173846879058362605041948981441443932223632903018263401488422501605492518232327337048255546502442697793393887990065957181356403337118002594040324974641886659010595729584377693416032360708286278239710277623684067925460358057563999827817468100642492102933618866504203696146958024011924436029097533435379260058250800509866755683206555428335481519510386000391772956454530338591952088830224151823138016881387200012636012168050171183104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -88882381261704787877363088614117809050984470508777240920455378753519143168642097792677014638328490441101093446997545772555717114846745518218525269869207666048578904351698719977381311324283446220708974298595091205695874990723577607903964038935228164394736364659595398123371839655626626696602740163803358976914281712936362451889291265409314502289883505523651656000682553120595140526861444489165277037459801986345769576377038903486160765324450949197170295525922022700911010630373557641845879536844392406497628431018448366409627116403660455791156966319545241250431093315849824589365287133336934538997245997770821918066284159426598163476651542728631217067219885623974479229985828859146932202963006737742867879202707086361943213885085728048973858979700352761611430288987142760075584239166350290101322773053026973995983520218256553939863820514537361496575794165201898932784770569128335741055170655011005734683246571222515091550514904311703679538598039533853214575221262927830059039279271094424259412876628069220001549083702458029982822922223818259231658195789085521981057905892827478508292331326259655350241189068473553309461009564795142144000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 7263677938798488579555951688352980655363039269174784347587996428853993121680827025825492507456151195683213303648783682659616222991248645299084611332966632793062398763595998481577991977691646868156353478985822725959035968041371466871695868240070877176122567026107750156404151164768007739722495284572853226363494952005556882611539198155755359774711081427630205438445459485753994318759856968088457026057025497384428062179088314047689601648003086676379158249246446293350713851491708530666070224262421875256452536613639570945229986358904478673084351707389997237636613441861068303911578279975764375043639458749375510903477153597847743518625899357721936305075986165989866131014586479634706650470041373711191704351105651708220835359567654267232662402102150325237908196565215545028516221955700580083390228839590691353773045848359328384845816049975641733908858452423269918460802700059007159723793678323233692929156712024025006775976012050348969549916779026300732191374646065763808121787014297759134322506330449230127056591030576199558843638711547539423907139919633910435793051583638126694441713616918242833290526769269376403087725583822394270679040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 53665673039110510469727833420428993772359771032398268446244005134936087468222635784033384180258780340518750096972747455501750815247565067772387076021193349909663826715084162304272731945219080313851287560191233927900171358085339095977858408525497278696180634415931381344740578998083795744191410146456596913317386539952342178894071936983151993764235452267788935425577395817329113188502096815778998605822970688035495207149311183368596740801582054676979152063439440482257896070353122813651200680943173303168483245856039610530275677235571752957985492703316996835397507293694183828145262402844120074148003680901730290758669681496023271520524081600376475108845423969368575454154730031173976582900119482695302689562329768922090420272702126341685215704047623123891880921680155518403460855933977749378497397861436910170851540339838038542308245178541961537447176802040762378685911762123592855850082452222111866423813865171524949090401938823812823010905577054123365591597429077173026339263774064285799792704285236180531770629909043792462911053226356722828901822390882767748892255540706120317189572323756832489499779025704688285601213972480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
