[1,1] -44333322867453349521636395380541674316411909763074824717001224096408023904980105445766198852754433489220054477892778305796119313639321876211290077017206130310963490618226392881892392526479899999220926671940427988301284430933114629531716883866761975898757985531179302442833181858708191053272313588974421839388944518236811564478890718726199895468059192109769109349911011541382278225453145110090952913087353613143560996092554763418789092669200583555278027518122016127758099251090393810497185418337998065375287760452857937671613589646364854997589058465596808910776771177412399660567463000313973623275804877745839915641167696528170599874727498247084303042692779697109800775930533309195780545301220631972138686971721000321894504585145229882966792470377032072840468704226680454712982685675602706877120905047024030663300898864348262416589866717339032832644888838095953997195762012150435294201331391398953451615164163307514236172609336181137113882403756130870277149291277894786482176000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 27029204285964304117220515780110804395701403773750801777455098993383694218848278516949076395078207352649910718995237072945257931051063805810194293209483779413383700478995239802363913550437778001017022112349270255310580356057692235343271553430516817348373264297710234832139051300538007602616086134415660230593024905967297621843014093724959651094554454769516083934850520129256079666415552860193541466541867205781641190749761586420350052287528881671995675104169901464694988443768249254745094676546929304175584216535733664447248566454661299609440250314404895123770342242218578452315235028967443927439925942028024383783151169001795021598810886625499547565234971114948239474364984619684194049504980592270870843438888748784957096115761444573730762501761043349559733027480151818857422876996213461023180898400287975439132199135374973749603552266974072486948084870733707384701745196704926899167671265806118293228249612606531715548485526784341144381915134169134168888149258936843763712000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] -12895851240044988820784339207539016496212462366569370026309243520232461638693710109359926111184848860720276500358728517542562828032688487968018611667005903788140727967982420213005850532530713547052988045207313746755914000170733056355672197953337209246136157797969670899500091804197531696059623854158302438778031277258866896439899498919519172656552875236496020100007962607411300412602169313430561017325578962122803789002854963448398415480212257021395694880307488145344545048201417694202006817859720900236341904305731955342927745918424870891027006253331325926718222803822349711442443609754861903787327774269983138005886285135850235973832790363039652659052033326111948958818507961531951919818396069470323868321829935544513405922322646820444298230524008390469706507213014657282857180880424687308200031881053130888878649383240774916577570167765673458867994199883119845466284342039356043772309681696741113039762513646819263324951503781511605271965058969872957781711695245222084608000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 9502131587604205490206390365400430543521103973861592553724536542073651410111931493239577283339464490006574124192652635376480584449471030894997200336362252945883234087565634082361587181677148036326764969970940721830525518086542733547269145821533299569603457403459678576685397292986532795650411069876429768431919243453702862240472595012066683345392797985941000691081801946189393788427244915905805556424849713278020395541987666334248154294113269663742108086545808689873701352732817818648582044441193865399730304547464172262768866314133155912511906576084391505970668309823624379369739029651664121515683971077736465984524988315128452647008856886954729624226770288124525139848703641823878097982950803342753176601360370673821431130564337965323315150771364004428760023470397881110251970017947623446081709411353808903584209986542873039113318959791369355057702491936087309282551060912369701272243644013925138589804991632147492820488226033691115238088015065854067680511094621626496450560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] 16984216432657184935224977148924680017189239555184680018928548053795610724788794245945801249179144092507001869127358521971938438163184020219308536677396089856171578347192179472236226247068753128643589704559129058874213393959827891182534304717432837109580230025724289586563405261381947418976282019016717514630432400906130196232564254370222697725161248525670008694890395987375007161521198100627266859731729841978192243492414296528396938319601546481903319950158934147049950820062937520309403354011567102190753111974282393959102813883238767194793406539099986043070402106683735271215067280192483909392582562244634622507812514503296236045836863250984527808020442206653693207616197164042641222539275160024742517836748647310600970740454472001535182434155759713075593408203527332292651076191827790377003703439486860151819186938770565869487091735691573146845384208014959383583974124777821587818917822161687711572615088614595642638952428097821591929065045378935183316896147805636132864000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -5841747812868137465422938390286723753699875623832421127189715512212523056751511878322604733353328121619233097829465742149875023885333264930006378383994035554303051402782783028578698324251733289193014459695013440833295823858404990405739461069989235787223951098460631097243045212347337773044473049337714303121217055608358630634427723691201166078639779319024365412696092229648602885282798329396617376485104322018614819206519669028297202730826225453931605429653438926890275710497639551105358684904899955546595612175250854099429378753940841234023398656131240094873248285090048590898109834624676890710328344251059778512760033315751930571015958152237130923515646882151332165688543483529897360354170635506143833709437348566531172161460199421882091133616102505473479149262781237563625065763257176140863203394517427667960823334788864465856650433773543056509370524976296713068817349443752168830314507678924828929259939693688070389358794273668738703030671914476686448175455259350792142848000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -4017560177392502146391041781396065088614356956910938712287912683704894135733536466048535457844464575833284284482475455108858264443274926278115075422209010781457434596049993595815022266247854760848215686086407739388688379163686650868557601825348873233613483971796362913750495648145614221798080240554328551754431102327748284886083858690279458761130282086709570234942119986124237144218754022992845449981601256621668509606975481592205922965642309925723252900903270630883457054748710050161550860751090161392413405329450958096649832843877393632558618257969852156949336638373111046249102454888356320831245042477174654328329950007979140888114308817722503782881127079313463547863528840330423803724630568699560004489787719428489916313528623897962339087116412012161579897001272691864832211128582066057730594617351637670878977729658439945442761639486603994767425075893471245699392461619985574735905527510994728352481980480222960188324572196586580978071555393337591351899619031989646000128000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] -390092015206699418190620912158981229230097304138588897588309020690910441253907004312097169232917643924824440848950108607018759360719198175471137452079716089033171199246152058111441100173843251183292133910225601593085519519688971488118904512216349933245741751513634640380292215611508256779166616262233781291735541814233792294741906467475417323471721360749839982709675814512250602235709602535497468957807672938497375136678463009044788036791691738064149454279722359105302368502917280638451036436135699424040228731814446647906686896418260756982492961360388763671196978779850146814067032273145945362525647550555727447856035438304122262408890267249107636211552997320202717603930864844281574511497750521536642310247451706863006050421011713847561129187025012806796461251554632518514715235718496423590130023366462752184250648688619494248725129417187050851975329509044275413742051072571941693719991032581033305256059074068514168283467568886699656253022497649002305432811140915850414915584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 107939500020601753533654618093964683631584194258875593745359158642883288719434842137157563113207531142671817531946585728532114799992357937080325042242476853584837201147332510976728349476330624541394170115585493608951378163928817763889465495252558670988413794683828305276166582543441814939764297182970333235433911525242962500647645138259845791085268157462510553791548139511753810890384189767846464833896545445787458592876043011556049020438193426823419618134871861760731791700972137912158395044353394377598324669108240686198803378519595591966019622175733221705874441716141073126709610820055466868450216489817181010741839883581821038846937649171778595911153385144338536780435503171811185393267596551023681693311203721700828099509799526284790926567353622255165386520505146074537266211624991028421460361941137038954545973646788168709247434252198370615795474865060664895173174943837145987313362683782579287372460007476682007956754614732760918988288287731060467522440695795020726272000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,1] 6930536226348718712977055707641236986907048271463622439461229203817465363697288607688349314208454101383516712367462811947979104142941585058098000860828660812468700252733922317332935783521006272029927004953983113371046346896217600971830047553993021330144866489788949902702913669286717973594395713278278851234288802153233445502097527278509330335556549151028424154319263578676907116069816910050182860242161347126930653958178085088225026029028440265525539240847646466327589625194326726518729022316944959347395930550847782088689244644129277359456190508754330191716228063077778738945482515150304458675697395987202165592103074711225368332739232594182520667829249971641726411283874058949687174198138693815053099427686522932352573817383156276041072920734432228554443128266947958059750779306785748810030180021491522659837778670104579791717221689432045176296429178637990949786711532349465809581681504141363155001586618403343201633391780669039260768718222671894610867271351233746466504704000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,2] 224378253537628542468415554780336352090400402747505373963322368075157817893008705250846866935024018888417919669428993404544659943720626648520685385487046550884473290512840857570106875025900900207117033692850001804538353163761263691931096346529665827565761593062482754658888879912473201021116444783586161496566167736605541594171183690091093229970408166782792579865292972497994338113121535773262716389628989060549228071457561965288549451617198747018158815127372034181693630185539690693661216009672450640759512540883134582606019085559297591581099251611227692804298361753840921213219546569356699324069564665439453509590220859399769890442782725783697614380053865406369996015668664210166340284629002875827226119514806409364045171915498453279887094045290736448522451814955053043493123982549652366488528311840058031170772825858106066889728364906631880525162322338282162393667623475070659510223336130901966917685036631681994651915467404609093640665467892657585966581210239993686511321088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
