[1,1] 13420487309621384469083394815491875933525259288020611921580206925467438390774014130251548991166274654482266472589276288081846355987407179730859783322155654584151972209831130385980409219491246404898439501376857385057636339396721544253921751075405104121656164617650170033751306971115082075073461971416121240332239387319423073297930376354185938437157474218171989978578746602716073472292711725595088868152716925172417212202824172455617445079385219980898933587028417497571194799812277607435017490227664029268054809862779814359725346062115554793370841582815588232416378507397884570602800167036588438049765783021952916763259205178548683405037252379406989441909193216685174420446823300006364638144126591605326713753112536156124887451891220261243228941339687081983222035660049617521611690574086144000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 7238404397951638084433958051827927827970613106359707332921924702972461216373703185783191730699015267986824683642604805519239155514420439842624203323478898372213057766075496523936097180029708819617650251312905360537231319302456652764958043192027635191303156799240689396943492288269292327409239355129533490920145111356745276330173450960344547052320466914857727812906112286987147246243143442814809656880252829812327858327929591643693067882567488241281492746656188918339616115598378909730603474375805913504228108672371851028625786584208295692295151562618074015611950465470511782966353287284256365292520844591281906576500548074632420807908887938660904838712261215756223475844482673757466416841140766492495123573430242918304390474999218383599507051013034739152913284627704062453183750369968128000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] -104967993081699537816750662639038760005094415759418301514384564804347069022657287751815594002493718469742735744049017526501830211488924522502535831892398489265472454448717375368662156367650211867424656322160362904439960315879409962882628265762801627051161662930939944553030519679348111058784710108880993595856372375841586259711014391217602175067373792237511133979039611188833431059313892542992776543778059635421007791266571697993457425343981603549185144861203184378981637814130469171525087734883822074605194035672995436808511854217576179535522646606327643606802572798397666015908801518729479882156584091553503179328562182985523772851301378955228185336328229889102666855319249562186148511147150746066070188632214101284985319614215426976398957979639962727508097654600894594823530437672960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 353121101036452458356574817219134314181004908143914396008725179876088991532334372249831155234067005243887122208715531602741379138199086889666049667224519057080256255894060481151659137015813369170547106359590231960067115212553700260787290609915219210566963318825578025403490916619484047284184525941449790445427814462143730816421043105888042852665721355106521953559659036480426970705820569268481097639164203673094674642696680065545476205607058615538553051310302033018046023673041280577657086264662577438701166141241787348058470934483135692424692736365617150961058650748751036062214911696984057492752818528203230848740798359563839019443322003958295092065305832058675239452244430252867503499867074757854517364421111973355589674438288429939339264713021798445311810158023519069488377056425148416000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -34745555645237475495135904062038706981978006467327529696967531755747856882021690730913257194322291665866103895646290266731566855719751869693732014524731895419582408733250887457976653755406320411350711086751598524304641740768447159999841245047170841068310706156383300985889531751396408989762800631644438157289289545166585858687967611383592773777124380287340249376345944388077530848438677115757638284898804980050186586300550947066303875774196314468316588869695148255814015164394560079745176360530083882102308934718744008817671765886727784417083421047951388442067736547898510442932681796358219093292729182737197485662448722322399701085821959361164215245140127324587791597033608980175434024160833752939036146284477736550957362188874291278213030958735993219811138866079153012082167397744640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] 249580635009276948145068351043646617004027550148538551228194858556352931062410301459988010450384985671017589597003790677726910425504987119589586742914957534364627451645044836295845717759500699420890165230651670752467588437207536754184607446183200402177522151173931199162702730976588374441369136700988866638455797005154010985641089832899084841583671268038124026923852586703934583097844496035541988813124243088929366876835978211431082288636480013181282480832468714652697550313381649450837078795284979235975347274473544619242528150148648727399639494148139636955619358908198675237996058371765735064347839313968470107103413756935653991864482054483253832225377233056160137876591968521745062984974598479720090183428950783498606208663946372920235880928275029011796300649799989425058888147946962944000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -135496862880970335645604295278473537895509382044063246912878584038604432346150367844208746959169703548790615115318711326833185374413145233093864257154111370197539909822018783597789488395475720628622261266228169752488512881360950892270006527435541618594291771682983399907062795737335344157923167297718607153216103627686932578220307229801027774118782763899727178866531826040998451462664950239235461130436610859477387210382673326122961706563275745204471023025802979531397812114115025885733026244988668332505974230137775071315181833062285232888907242893105895371980235165893629662549678239255002176480065659325542393555392163173098863040994198514117594553848344820214499069062960778092298526228505181430366524967570029624513277815243758224608457037233924728915132763310064820532190861118668800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] -1765413495655483167618866169522748042690095626845487451693929499419251613596119135089861638141664431136391614374036144268362189705809764255358782542025998821732106113674788910431746861275742315983166603313551883953840483824458127626837890008864860511518510250464850724492390175683380714899803260860712446869074490262215753110433096764004466847142055992768990500890075244118272042001261538866011681000612020124371144833908462288438661445101275080745834572890433264562381271905699910962421060787386613127348472694713617959526925355052807352623629591623818911878050760225569146708141042190650010192304189190759465906775218113513932372169903342030480604650932693574921450016247421635839392910801399094587092611508492767697573869716074824875457914874427578871922428649122439909325618203827634176000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 79855477356152180619641947672933178686676462459227808002476007229557388369595421241757364813219437066585894822411028193645150750725821671003627860718871979717993788975350445986267311097270531292878240849192662526360806833082547456551602050682135946533718374653161938288597142289178753745375687669148361619682997105884589610660420998015491715303083179946693171826162086402519533437114909628036935678820822590719466244573935435260651393949023836195280892566723715568395919429996558890495637136488026391728084708282069430538734907311753451436096895730044048202731774240817870259405771351940661857538767412588734532508576442642493212327364879241197919860100617815059142279466360518130038600055452274008665943862196873261422255934386058532050323633478823548427956148149915604681222411410997248000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,1] -243338288092006136771712911599553823082474555958978236369776159996031437794190865916522951134575126410248031367043367553804482583173901843771663937030595727785700987746001785685014145237468793695040438930671535712761303935559591433205258891193779364914118028467633382460317063607949844713004877256299806070653036518044676357369430682065554933884016800205340264156678022844742328565625665911645781366354467440580291589242973094081348205738282824267062878751529481472061531601370897603154722140080164254987394345993038584926963393978699583453907783805964729835204550947135392441932631787205940893792123237890779703946452400904235427636365562878193407944091916575038528552001980450839246619178650729275715236406689437999674122163928516297214151343199857513446571005445083469261777213063168000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,2] -951115976082559809494373601079515720042338168527864246698813065185998071030307321042284339300517775184698064672646340200049981415533914958368393742702505513109797199534309755596483481785494679812898930424143203655248539616987444997984327129771963098230530024874876015783512146006478294762278629083982743209057247324698054418842591802011839106997162292472943658311310435461977270477220110547681000112879646699990344848965717535295163178182816439656419645794774637865566709357848449877732033580162809718201924365840562936837348069223585807902490500885754271190225483631581141097450346448441923736170160422542287634592555205881034871329594293839428448778780605602140589071147632449169406156278267243695689110413053710519544159885151297381740686683036936469453534453234284219998871325453058048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
