[4,3] -3932030065990875704081805498792102880532616877869204928466396840098456520112597722921598661637280668608042507165457336212446620793332365827930103013022450024016403985909048944345840444033220215698796881258038790525298712427635512377678789675823439725775408480041649756384490015516548269264405545972545329163366465616869668286040419088087005284218202816136632744636883078866216692534482370968195122906602734983418883351765036690402120932671822991379158734323816826139098587436296801245601521468672218361927394818893867296437161515805800013828760047503452423295752611769265858836271378629986892618990217159288795947832828582278994164897490991307084174771892884197207187014028565964411236639645677140996049169193501169450597346588939920446479506571980849137966150444731628443304905939317369541683679546241158173699274947846991230840315015753028927354192137234018479079151294406983680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,4] -2719961778944300928784056403873875765746259137260018741500627956824466856693304247805155469224291829740819894261195586691302207469521483153058894805219255295731179277575710357891750159314604458643505009212399289476202618366508364858569170048522895176100356793141463024798549480912081013685808128746766855773752576169006179487795485988316333160960434946266482976689457813985373383838562978737904833437752794335886120400407704649817784912430312161159703462118389002146529351985492152305596610748861354446512126129802517946962610993515982191908713536650511002814064954377047889288997666512086465620879604604086300607798081376156680869510869340801899695930605822835290964090472376048514462633610765231394717807040521887112980007454541110853510856012310427524236623668303252715255012187866369190543500162368325074231488732284644106422686421320681822486160977973044224128081306779501199360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,0] -286646538541036570155304440283746253411410336141038219259063457336650925192295708241382837442996633259258918825468046688276324055948258114957114674250095975126425338485028959835404172681692368112158218865524913276417970474597748654099626474240220436164217309959126502235710032847864678265440245402531861411615272200815432846603748729670448366267445641762338650436342942216276087096570635407846555429325517782490914033896423786497771176677491353589425835901618307334073270622076147500893482725508901730285230778572378463294193774499581302466007018121765398957345163004137238278791053421013885594041243808079914176014178130051622210459904301087677763968295122785247901382224209488644511909789320816066598508900492926183552309153858634798301944619455966126626380773380091098582596626808411310460606389225065721677767506489979564935759635821458389212280120279221424551068958720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,1] 1257679876461266076679542602898715876370026715575364988733784541074782515865641512200577344203325941863039478881771974058731184183662326000117898729456745060570944459490571760075348149780054946994555949292492956727663201176974847231431737854423995467476246284825259285537050146663496019891251487735360458805487608615225858609264713609333641988250298799908555760144991632341977489654790907317274998395462176427073990684669835880711199215509816976889771241700224704043583250078850330490096806099397041711858494201710920203127266438434220694198915237111885908994162080065600723053088204097730503844092670742410207487622290594904443173917289751112009395308301103412872955945334021263001508476916921499496542964084489896155552199472433001463395559247039974878400919342656966135994936749626143624496872325990489879886246479715739784711896045852054128140074994082411236750622210392064000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,2] -8669749497552226580433672341688548247921329563908278422931212840109587962397215316648061636529675164304642547431390109154059763666072564217606499271616956286800126189478678124400795002944159877150559346076869087319839445028880769422991168164358286214573411490312112672683371691977434783155172936509354028872624918485525751551318523824727438319212662532358224056547296217580712000336701560897440326425406177276674500813499649129729843293260281522104023142775690896577201668455065771874501576604792783615527139415815826543841501686792289821228342021028197353696661300456403588058094719034973631197163462413257488344989842389150611507381052302337808461905418932551299122656701481806719008369667857688929499308133468069473272612790212538627607472786310823227238740626674153713131044434713869878256510741248977924769470435107540277159540935720589068411596332414704175814747574180511744000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,3] 14509010542118399137771730088583398970318175991130011046154842111725879823102440575964206099914684307456834941644569389755934788949046050719042874595321819066518314047224497418292351145315455513382394885224248517323586383188994828805498620331909605366211082137691456744225319768445549644413713454677915863474460316616456537310900479321262550424911508580971503739015025737278326193737888754960653319832749435270491826818002696599102743685937179225442084748272059435518439442701169133200074775677153662042283785386273822337435034726162015871615647492547033081338791055527144521026006628406212615188967276277902901506976399875603232084966614363033271883017497959695143118819969660305459927004408018537719209566645553030285763855475186892699511648684637555530385328535435421896102501293184664383738974179317009315977386585465567101133598665491416295343894869076280467535549231981827981312000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,4] -14909794860992701489641539423583995040108394024641301871276211401185664031695143646036271639577407162987745263708696182070951853131889725044535818324415370066386301735365562177258942383823068754270259062691561668536966987087426138252799751590097184128897591741261804731865830051472407705359189883552767730575549318543159571232442109754772860457447408201514467214734343568343413980826381167834816553301450936794804826798102687477001388819871792664606030891233829419572910459096376030734857490272279862082377179809904526835123739148669700978658414884527118355790869839996455033431801559642295001774889719355479654851175740059103768263698216669593788836905738142876072901674378384008545454649694199600956551297245979819791704048094358756937688553490946632151990409152081806827659837860019351548439207823585625534987621466916714832921031165227577648451677885517728677494253601092613963776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,5] 53205458345977421056610946254792102874790365854268813953699707714238556419924858374562471655109552943029863066042834711003455494518775738718563559152755807030131990991372596351550147147499203669172351279614715607349319425027466928074430453127605567721472195618341161533714658751681171603232623970756039683126441849706067095960697178573827043176679690995129523891255333042974080662850242849223178898991047205149989601642611342945067614369816216792401957901267256001615470882665979123378749578904111596930423340508346939610153888890273394409044848939745553203645739112743672284684109797816498957498744312010529819614364623119589776214065203115531158389365651163921660317649212922677276712908166604751847829754777354251402834132349841563064593582039595408017294243526361263866779824268537986411033618707238116700076228085594142022851932641699318066795323797927657275573241556479709806592000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,0] 441466873713424834357822382543634408485674086305543600426159017166440457025837508388979289549885036767460910232918734432496406432547238254480380932667231830583147070155634637428707547530351690005324658551664801902796111737909882113958716545174557995113713232054742220737975574528140646130833419249935051517490105650786814638907553054371895841606419959547032275203377137392500494920564912502455580093630501169986695715187269280881281889384422437060537788377680420458157641345379646174337050855537408443877575693708698470937913186197766396510471859550610638504288466009814898816440265011466420656283838243435957562338104226964861500303452376429260750122415950753010673455524322597180989042402669283849581006095657034470114787827125585971080357057351938463016720358757731799080721777944667435249408545975873946660070676754036247842755000012319131872000870149884928701320679915520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,1] 1116445762747877744632800713665268903680605698648626345938205694971746089842102550348278934859720110070822675408279668030860499849570434416266386234520755782997713897551784346830007073501217984961037683465802729081790910914868487217393761836188775106495379458406264172670966870119080111456996222964036215294714386132116894606341315911332996434113490632496328264599111003699572331466386757328971373550463462746836312652166420402450829615572757957619676386875158100862925664255803532255466651744236142899944666504607213262272055205204698637240816087133169811728145079618316777041337207256819450615931048576781051820522771222364744990562434470925144136930911022234342035512771263943545043157024536309632972058139884045040874351344646536036507038550140335672983645155088674912619825539200354952045857939936520612532566487579033221844684224083434792660916622435468842925473399085989888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,2] 6029983065651881000361448120558791932592907426465487560754059519462639082942932246487311675749505551699827606943360666461670854195091382480630702701010021784167657276424709292246525195476029311631490496219193432325847947899844906541480848945938363231490080616247112862164617970992304742237549674481788780745637188056256744456543736822644391090099380279187948152184718259177423840858455882221140927185308389770858575344828825789662846633449912059554319034754678421308291849959750424180863631657168566097759853189523583309494311982493750057925136893326690176963549595274981541468572839681499522230046872475746603236141513128512056268863678248996015584013750651040572685628257158489654461860974992943996039500855645715456784026197074045524401655813282483428701688987388467339713664361960323867257639332315508900078797398012093806552283713677133942893372719996855356597165142265462521856000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,3] -9526958014145213249273167830190359949842264875390744526082018253847887295085114634181684671126292467453341252774997417275584783528420030431165411627753877757192035404436649379423545400025866162825724136133518430831390955863620780793506487442103637695635355065996523007558676964740085373147905287555818937709439886108734839629670076918322595070081459577929780024482739666891784846321433307495584321599877996509503499371716896010933773209067739019227898125515716112429139939478753415208736945261546263923927219239632354132447805890644271114651755710058089229430827074463526878606942736910522942253797966274501600883173028845699447031100157486169783302798162077672991537410595693391347765524718334405636153231904466736613384572119981281182059834173011059532278775470645816690773718225549900739761541033562545932801691080263918047736332838948447969844401951355085946965029111904321142784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,4] -14411818370892947693982403376545454977071732705563832286504654003314148789596283558722179768503585662447797143396640575437011436300950181999510545274460028952058803899878598375918477065806120192109131812403619230571160149497203371082441704514796913401037337643782471111515900479571520584850621866443251414417040472579337274679937882093570038890584709085352329883203401488779597424993783387314381310768878787141353314609231659129614629366926881952524585408298842936370963424829180959116165885188636052517748823643604303481855990168253079589198362959875269859008496450472690066441280929326929287530469993360796357512089712769379972368484421473048483449514633349301302260236876390736024951413368381447938964306590588385876083662961030584990308045628473654113890394168646595385757759727810207115907231478723876320600157023846430445112753643660015557410041049861364743197345212762112917504000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
