[0,0] 9532032067500860462527842486401330090526930142911478437264563215499298884753427673818097300979890673121234015972536769320618648914000542972523171580913353353367274880569070154794662550091367578046659499475592593675332385798112242715151004483608636399067475641065575411128562402239297870400235544310699006485481614061700760117911259186350223110978361477627179707389162956298517305472376303308426048884696041447328309963638604211807350524534219481579478151791247113914044761371018113819240396395186147160127423338456322291123987911510451237224267291769435003551744000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -43364257547535817718886933281724240042212902371346150604148595927725901187684990435911652973344497416243413962794759319627815240061333984033306063572450131600066057801554815837055302274425443944056673331676293242418126097495965978875052638758082014414991739155857626642253104458755356939374406014229063526471140628633293214036797402706106718412150283657212933816592213806602517143831763407297981095385586859264637870164830701373414305595453192708085523650778781801424828559095395564641199476508903438173010475364383877231745915817716776203297162581377584905012117504000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] 1341696660825315919489506004517007953171556365913752331097989104640167665298461249917692916995388990768234468304389245872445996598606846332017543931772866012042568225368913101295770865383662885063104778196111982230196325107721408769511323534540309274314101696826903508329728018424522645847254976510220962488357359577852576191380474184762167911896420083033142405380696927089076011695230735952693227403077520974825206893969997620016143072717138795700422470425357227500879281205289549644411437591250751057683537416329046311153135115745177621841391366331938220706914877046784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 141784625202931480607231679401128888472388574392112472187153072126803976817720014056158569785267331578980931257329553416016333832164793861139978784721881989859103859426705645318002214727205104699808226909057663904723517906609424448716233264174850309950289351481500029689222937028263866535970319373663702193499931074821809258596196945459382962979690262531700730136816068772127273172329186821044226986064784947337993683361613408838629581661044346813475138927642826683177424150623188897751291415501926925577960470900598883665704962877151324653994225741195534459363171237888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] -5568065485055942287856350721981462624522846728266110277172423651617281522161982427660168479707385644976150745026641207956816630314915676333171073755762053540621107791624535055341677018830491953366600452315838894681910839545576878772868379939488765356561729370818875583197534804116840116880792445449671176274784352832567170065358335896535700117138553990201846760728852397959522915383419963256580574644588716306211659987710599505184731770170983294311190301610547676011017738488080582762408418175012565076376971210622604705318995940715303097468724256203237957736384222394843136000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 45140279734048666782499613639773212106850477386785537866353598603277311416790382392316851811990963749921077204188412651159855861110248381633398640123643713094286489643926271515909806460563977004038392608277971145660368995208123304563889932300012236459924326069061736818435983732159084966074834125458571801411844805410118075245480492863905112474269455579555670665839299431298088853047775670965850442066347745751651995028187008837712394244294855269023599796192895722712726098223381899192289017333615648018474030410538211689042342529630553691969001114928128386184427901896622080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -328792590209702912585029565215880109379898324231726954999104621208179950886794849507141586074525978161923377874297716083653404790582599976113471700889522390291295408882500749309077720224965612820378752135288047044661729859010771194702525038945436662404191409370610754038809212114057851077326530867091029648325423682390299390472828741172575242790849079083728523222112255446875770381601151427741314207526612451389626798961195285550933826242090104820597262120147288598683283354926155933272615778968280429155435682036450353105613925481890089400260304707037712801103128886771712000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] 5787882271950309457976471328545899916729795655367001914608720632321037477265149957793717967242500374905279706706452927943226804411707052274562688450491300664153124737651984211401549020935612646308692957791227015123399781160016728241055368384254271043862772508701596700578689707901443750021776493248286069551277368477845495812340448339615727021329407143384240614811710111760669571551242529957625085580677357936625207401017900814982802549388118690503753814240010885759200762663585317265515389333626808655818084050133930842134220533922296342970719460731232362031136495076638720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -107867636050517268371208038919210460767604620928544198768706502209791708405863812433164840934473708032981516688800071151676691992140393369155820251456556630321569679778052513192349946699181252968665495687379834470413125071627477071082941526965175431707127080536143589246994848390757677435847244897465808059544720032881136753781032878763582729140818805708491800153664513726618338103904093334908475453642912523914733446834710679223565215455063475834205515133033873674963028549730893576743549171662101029993674414935971738128615143280771228733317037002436338268848931207940931584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 503089396906226251852723022302093076291900393929262821090182795305152773383088338295787384270135042994458438332671950329916319240116252182323812738345139350453426951455369816110993902302931520247399978418238394118929454449259265170013116110550425310421294987047712146441012775654874520357897857749349112882856171018896949120044350045852955277803210253623823945551733524418872528355062606640472262062635869232046825438622757689147761252617385704194992016446682485450411177436002320638500530307192776528550140571497259730028849286589505467190017696200493279409490124039727874048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 589025483321538824414501798420904683532221892956016591452085183420609867055190127676429725079767061628761253009876756007029495826395305660504820341501260577148471497206679952403816672750153710228415598121738089092783597107003196323565474309996215551683130089510517146709156582343693002671677995561656770013352127318063821323761131642854289350719195755728833499034703264326340572363690729156506782183789799405298858466982810334666208709887628700227062613098191204854467690222819994199854128327853477668691640342674374751006717321485491104856672103955186530783732965237063680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
