[0,0] 13330777661592514430824573089748237371479515286776694487748822412502867448910837593298585298276170960555317014363101553654201539270311600714020587372162052586149745217085519790967167127880323128616507080992176694585202540412797955414872097765626130214623310767039529788086468783696356781089234774150721954849080325831893220706644654575375673337517614420014225056608693783879560470512123840172953832324288754171811321235205995538890104344627830596279591341187886698935994630527649673795467359335342217488196229562205588797138555819653872794975546795829183981758835316163780231795329998169716959294986452191726651765341924426532401184643135400636304921395321267170302382499507757050436541877441796310126351045260722897756454458613424492492169810322463851252906756819442358344551930420690232691872140768133457341758467635625414987763378349222425376526366571402302623696439535272023118517728093887590714264663017188155316825601211076809332883456000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -184041485468308606149477088989779993430084152832960833312863609503186541096607840540514887587257248423300793044485849541259068394901653433764910875429456144257465866344461524269328554804620565091013362401675894791168174323876899512293223996191882614351941667881367392034576645357303639991193130490608681233415965959446370430410289800807453914344896498365679283609648957883742956825617442280902246219024436850551178200516071219097993778843624417794476021958340650254733351682787256716955441477179857466672369965665095712902629632545963567123956455364574391304248365106254343986960940843109828800791196358233724009436847090831623747199776605920505745356925472482971372021388663667333709762458623602749449500863641366352931899446419516193586572410906351596782157690466119332108367847466860515006867017016430326418932967824925762759860020023400304737379769642626047703295994230733611743970527130883997819401254708711912066511666775668934941081600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] -1784025236867948307400570920125192048458442171809675216147875418047693603712870083892637223483044870180872785356578359358291827535422337621213318123522759967912755438649260792433040658987694849612235503667806219719989614842876558994463026958797940914497741258034994738727315686479868501548764453056881874751976715584688043276365984277415816328544478661456297311191455975661948105845135776853627495349421074883750372137650293722173895976108532819655245988139314462396071753485036792166977407212589980692682459453189097358729323739137934901513460654494663678981207566777877286360656511973665852628129419628095847786137332100807200195659963699791653998498841713430548265751707255747422428429516785267282866119491442390174895922870350383864700704695376017395329235130282117358140150717426105771486499621265255937014298071711451443330025216262815212890921620986875341763995050585403247545357412292206757772727008631449598712712667949183003818721280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 1294096419674724079625945083385193749555516043019879213641525266772824392802031802074660060287861438588571638203060690211348962283475254702535948633355824977949121951791924132827802297339047302869055753708882848787110870934177942903919136305537738033020184363131447356401923592731248977994616965901187217572515141068907107466632903000154529218149060394672590323323536867903214523054055745077711109345342997749809088372364154919293480759165985398644951782920492116959272714041249043870555473429646363726686006333896457957278430201408975155723307871722156727595919558906043987967159898993033550332552805856352037522907055334565528531476813100421216346018982813107854373512708752438026417225376304195128535131526184366902378271485029416072900731137960448208213043486566621715936311416636164090956885393809329301334285184883283422666362707822594421174513309451055006338906200288098681577484638841396600290161197851685333767776057581935403212996608000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 31121896204602139702259696492608282282555518625314331850149321610124596934168573750689522196216026492756602275937888346910919901345833657055686616424193724654124401293803046130280634439436484374607605811431328720206502116833585467803818470472069388836181312941470001784359880307022408983289999093863032304693748138941870183171617650345736554824958403839798082425427846837495898690349541647838308766610049194635471190103946679762683037315999135166963222323620519018093620464772901378185625952143965830170665869741460004399389134638776872526267984806870059970193069192788071232245082163802736159321175140862975941661204466601475755729105193960199555403883088770877593646500051518395276819776332165522461430943878756928615477407626869079569864273453385438789876332820466353148467422414367272253786996095326657827319672348111585446171024958248264485224806325966383654475459264472058464584666894011472275352493807715981740958076904163068597187379200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 16654319887136275042140226165267059470737035289636398707192448578561591222563198307088536940644061965547221049908367452508423933664382027314217585057550902927377773494450106394300666173583723621514440488228302294489822456861409309076126133823707377783472453037704658313482183868995337126505007512960045251439144658802028809990980680479636569233515817388180797084891815115509533155345254294221226579092040831378638042789553245020774098555020498123259372019011145257578537245136188316689489568834240757869760584442436291978237038335311085738315610972380415639539182316167683520211197088366473840349969142242151266326489715557024636602673783772185037833517053526539774642833343067936633821547444232215166352090585195460678606504529813259942618832157465605654882369250562828076659182257274835752834439371620463951712044451012425308722287008888595932264528791866034741687179005785141651496573261031786937400825346247389331603777251917313852575842304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -6118686985220844068114857873138003006298556049089547223699134939017605251141613680715085764855338283556845475552003767727712592687362244400284442746120732757909104253343977159255346515860973445291884814268060090684633027520958770947247269780597655787264944714331974437769076126815550964935822627381652485842112202359846250567039087678376545104084020240274668097313332423251304520247403644938191924228299070237274632285916598707021822907894055333639865251093737755106420953826391381658404373536554175380763032066805930313005169241444630375499488548092578093250408923459493533532504941353929452537846656485442628739911784099964869083641512070570679071440424193251325596928652589307408150903368383578848779671405489214782284976208168949265408133576672125128006863776675659778610282631708030308271285521850916349535236995660259750245203517045905171159372931689911882095166650828156393190249008348511165145564806795054657615677577860385205963980800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -175215416949897095940325844467750421509808992361366677470801078741275076200440959003954908658668952892439582580901245437591895328604355794063713393466271629983356212529949618023005017923053367977214897264183879740481433798842477160143177502263770521317877361190314506490577724253993289775519995713505434037206324135163434039670558146725776291354387061794956463238080649588248127943515733562655151614043976554151184846784779191887911605231445172403257363200808013679794082805310378680371259334177904791317702690424852135638834290695601485552555870418664510673326986015656317142390517105359449938570577705091918186648648714953288611594122104653614692575396399144358978286809985261238504136987831479929940943878085926723475527962817656268327218148934531302156478121689856403202958348648845152053590194216497093151536558499621745559608938769419831687934128629763292586256850147696122422259425233769883313264731437393637508395314140452397900460195840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -1438618900541619291872488319538465933934393962023169685219818578293226122697923230386575797386728459915986954766257788719066939168395410411054411753521449104463326103700330862349666721184613180452456011018192177358803670795483938319029414980936043678719985477970174306452792010769932801284008408013684508482647120765694153644269886263163386385727347030523339124098928885616789909839219617830739493188245813781223528921983318703985003354507435848197637007946755824626476351138718094421348741520954574975561252287041291931750228950075174818935627583070060695961192273665844323742395779674224317672528661315547939793976745955657574438054521872703165102349731151005596854965930774150191419730797675500754673346904684282699625414124114974616260909886892426081708343709401968649073250859397221072321518514791225232558423792083646051503271671541787321360468588340119342216903150051059150404330512660279413432251007820595645640410552005829364698578944000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 3485035410299828373223345136668740401051396124799651826794610609213461787159226979791052016707405695842644438218556477062749943478464909812155762323710330507538804608896943501746739492222414862069329247612887580590063601261656468918002296167212193133550951591084602555385940554327570798068379023918976261999610474754056397880244183688205540054728312621677978733265490233852740608566728299822381936579217027655993752646133636630874325432951120369709974259385822758974238831943650447111437029482286923259052901360837873925838726762767637102829823887232067681563373881533108646390573800306882698726247886767009933318508579868735419675389539420683067822010613935995493816231128901722151552880689993340850541462752116861955312824106882033920214709545848165997255759878396722394663708938439552188666329361119214442966622760198112164512503718649919040739254075888340179762394964637401283084648224011295218245991824952475666227181854769192906860349358080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 21671780262096915097145822461971505189392354727410650905321076759602729150959272617125113159886692102192504996122015700855888808373536098606068777545419274204153643397775644234260824666723338272727522421625750539486565752072608964828821213113538568759653246327080767688179406304863763110988633426754004377553267541842588252237235433895294492968042573270284729839443870985441694981434270490533359624991524847808882974648195065750861030122687343315101713729166209850381617930060852831734009872932631787439349379240633119160210671271668993479576218002978948622487552318686837288440938270850244807991947145563645438851428482332153511972993724924537231433447543645835787373112527992656792066418454797393539062950873212094460106211145981277790161817783225754470128252817385439506952413371590041421167162275159825575565159643300857925173172024153253765756839465353983251545994079751374427975722331831895024231953292576696776924990537998536347842772992000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
